						  The Restaurant - Description of the internal state

Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion				Table


State	State	State	State	State	State	State	State	State					 Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	EJTML	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	EJTML	EJTML	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	EJTML	EJTML	EJTML	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	EJTML	EJTML	EJTML	EJTML	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	EJTML	EJTML	EJTML	EJTML	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	EJTML	EJTML	EJTML	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	EJTML	EJTML	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	EJTML	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	PYTML	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	PYTML	CHTWC	3		7		 -	 6	 0	 3	 4	 2	 5
CLSSV	APPST	GGHOM	CHTWC	CHTWC	CHTWC	CHTWC	PYTML	CHTWC	3		7		 -	 6	 0	 3	 4	 2	 5
CLSSV	APPST	GGHOM	CHTWC	CHTWC	CHTWC	CHTWC	PYTML	CHTWC	3		7		 -	 6	 0	 3	 -	 2	 5
CLSSV	APPST	GGHOM	CHTWC	CHTWC	CHTWC	GGHOM	PYTML	CHTWC	3		7		 -	 6	 0	 3	 -	 2	 5
CLSSV	APPST	GGHOM	CHTWC	CHTWC	CHTWC	GGHOM	PYTML	CHTWC	3		7		 -	 6	 0	 -	 -	 2	 5
CLSSV	APPST	GGHOM	CHTWC	CHTWC	GGHOM	GGHOM	PYTML	CHTWC	3		7		 -	 6	 0	 -	 -	 2	 5
CLSSV	APPST	GGHOM	CHTWC	CHTWC	GGHOM	GGHOM	PYTML	CHTWC	3		7		 -	 -	 0	 -	 -	 2	 5
CLSSV	APPST	GGHOM	GGHOM	CHTWC	GGHOM	GGHOM	PYTML	CHTWC	3		7		 -	 -	 0	 -	 -	 2	 5
CLSSV	APPST	GGHOM	GGHOM	CHTWC	GGHOM	GGHOM	PYTML	CHTWC	3		7		 -	 -	 0	 -	 -	 2	 -
CLSSV	APPST	GGHOM	GGHOM	CHTWC	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 0	 -	 -	 2	 -
CLSSV	APPST	GGHOM	GGHOM	CHTWC	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 -	 -	 -	 2	 -
CLSSV	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 -	 -	 -	 2	 -
CLSSV	PRCBL	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 -	 -	 -	 2	 -
CLSSV	RECPM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 -	 -	 -	 2	 -
CLSSV	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 -	 -	 -	 2	 -
CLSSV	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	PYTML	GGHOM	3		7		 -	 -	 -	 -	 -	 -	 -
CLSSV	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3		7		 -	 -	 -	 -	 -	 -	 -
