						  The Restaurant - Description of the internal state

	Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion			Table


	State	State	State	State	State	State	State	State	State				Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6

	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	DLVPT	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	CLSSV	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
	CLSSV	APPST	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	GGHOM	3	7	6	2	0	1	5	3	4
